sample_index,MLII,V5,symbol
18,-0.17,-0.05,+
77,0.84,0.21,N
370,0.94,0.36,N
662,0.885,0.61,N
946,0.81,0.545,N
1231,0.82,0.155,N
1515,0.885,0.175,N
1809,0.945,0.595,N
2044,0.845,0.5,A
2402,0.845,0.45,N
2706,0.89,0.275,N
2998,0.925,0.21,N
3282,0.82,0.465,N
3560,0.835,-0.015,N
3862,0.885,0.505,N
4170,0.86,0.47,N
4466,0.795,0.04,N
4764,0.815,0.315,N
5060,0.89,0.455,N
5346,0.82,0.415,N
5633,0.925,0.485,N
5918,0.895,0.295,N
6214,0.955,0.51,N
6527,0.875,0.275,N
6823,0.84,0.255,N
7106,0.935,0.22,N
7391,0.93,0.79,N
7670,0.88,0.105,N
7953,0.92,0.06,N
8245,0.855,0.7,N
8539,0.845,0.38,N
8837,0.725,0.215,N
9141,0.8,0.27,N
9431,1.005,0.755,N
9710,0.855,0.38,N
9998,0.795,0.045,N
10282,0.85,0.185,N
10591,0.955,0.4,N
10894,0.835,0.44,N
11191,0.795,0.175,N
11480,0.885,0.28,N
11781,1.05,0.47,N
12066,0.85,0.24,N
12350,0.82,0.295,N
12645,0.85,0.1,N
12949,0.885,0.59,N
13266,0.81,0.435,N
13562,0.835,0.135,N
13842,0.93,0.405,N
14131,0.925,0.495,N
14423,0.77,0.19,N
14710,0.735,0.335,N
15011,0.85,0.5,N
15310,0.85,0.4,N
15607,0.79,0.22,N
15899,0.775,0.265,N
16183,1.02,0.46,N
16464,0.935,0.68,N
16755,0.765,0.135,N
17058,0.86,0.145,N
17358,0.945,0.445,N
17657,1.02,0.61,N
17947,0.81,-0.05,N
18227,0.815,0.17,N
18514,0.805,0.145,N
18795,0.705,0.395,N
19080,0.775,0.17,N
19388,0.96,0.42,N
19693,0.955,0.565,N
19989,0.83,0.22,N
20271,0.885,0.24,N
20554,1.03,0.425,N
20837,0.91,0.555,N
21131,0.89,0.28,N
21423,0.985,0.39,N
21729,1.045,0.36,N
22029,0.915,0.455,N
22321,0.85,0.015,N
22603,0.91,0.015,N
22881,0.99,0.175,N
23164,0.875,0.04,N
23453,0.825,0.16,N
23756,0.905,0.21,N
24053,0.99,0.275,N
24345,0.875,0.245,N
24625,0.835,0.095,N
24913,1.065,0.68,N
25197,0.855,0.4,N
25485,0.835,0.045,N
25779,0.91,0.35,N
26088,0.91,0.445,N
26387,0.86,-0.045,N
26670,0.77,0.065,N
26952,0.955,0.185,N
27237,0.945,0.465,N
27536,0.895,0.215,N
27833,0.94,0.08,N
28132,0.915,0.435,N
28431,0.89,0.24,N
28727,0.76,-0.03,N
29014,0.735,0.06,N
29294,0.895,0.025,N
29580,0.995,0.535,N
29873,0.955,0.18,N
30182,0.925,-0.035,N
30487,1.01,0.185,N
30779,0.875,0.185,N
31065,0.92,-0.08,N
31348,0.975,0.315,N
31635,0.9,0.53,N
31927,0.8,0.325,N
32224,0.905,0.15,N
32529,1.005,0.74,N
32836,0.92,0.36,N
33127,0.89,0.13,N
33403,0.89,0.195,N
33691,1.085,0.665,N
33980,0.87,0.375,N
34274,0.9,0.065,N
34575,1.035,0.37,N
34870,1.0,0.405,N
35168,0.895,0.215,N
35455,0.925,0.08,N
35736,1.03,0.45,N
36016,0.97,0.395,N
36309,0.925,0.54,N
36605,0.94,0.065,N
36916,0.985,0.275,N
37215,0.89,0.185,N
37499,0.83,0.19,N
37782,0.915,0.27,N
38071,0.995,0.33,N
38356,0.865,0.315,N
38651,0.85,0.315,N
38950,0.89,0.21,N
39252,0.965,0.51,N
39547,0.82,0.515,N
39825,0.805,0.285,N
40096,0.92,0.215,N
40382,0.87,0.48,N
40677,0.76,0.485,N
40970,0.82,0.155,N
41271,0.9,0.73,N
41567,0.875,0.28,N
41849,0.78,0.3,N
42117,0.84,0.17,N
42416,0.965,0.605,N
42697,0.88,0.595,N
42996,0.81,0.365,N
43307,0.91,0.58,N
43603,0.85,0.625,N
43892,0.86,0.475,N
44172,0.86,0.09,N
44455,0.92,0.645,N
44743,0.935,0.455,N
45030,0.855,0.21,N
45323,0.85,0.335,N
45628,0.96,0.57,N
45925,0.795,0.235,N
46204,0.825,0.275,N
46478,0.94,0.71,N
46759,0.71,0.495,N
47037,0.72,0.3,N
47334,0.775,0.425,N
47632,0.895,0.685,N
47919,0.795,0.57,N
48202,0.735,0.36,N
48486,0.84,0.485,N
48766,0.92,0.605,N
49040,0.87,0.6,N
49323,0.875,0.4,N
49618,0.905,0.515,N
49923,0.91,0.54,N
50214,0.855,0.48,N
50491,0.815,0.29,N
50771,0.94,0.605,N
51056,0.9,0.5,N
51339,0.78,0.345,N
51626,0.815,0.275,N
51921,0.975,0.54,N
52216,0.9,0.415,N
52506,0.805,0.205,N
52784,0.845,0.225,N
53063,0.965,0.405,N
53341,0.86,0.345,N
53631,0.775,0.305,N
53923,0.885,0.325,N
54219,0.915,0.575,N
54507,0.81,0.455,N
54784,0.835,0.31,N
55064,0.94,0.395,N
55343,0.92,0.62,N
55625,0.87,0.585,N
55908,0.78,0.08,N
56207,0.85,0.335,N
56502,0.965,0.37,N
56784,0.895,0.48,N
57055,0.845,0.085,N
57333,0.975,0.44,N
57615,0.835,0.375,N
57900,0.86,0.335,N
58192,0.83,0.085,N
58490,0.94,0.245,N
58788,0.87,0.125,N
59077,0.795,0.07,N
59354,0.9,0.18,N
59631,0.9,0.41,N
59919,0.755,0.225,N
60214,0.825,0.13,N
60515,0.835,0.41,N
60817,0.85,0.37,N
61105,0.75,0.225,N
61391,0.745,-0.04,N
61680,0.835,-0.01,N
61963,0.91,0.46,N
62247,0.86,0.37,N
62547,0.885,0.04,N
62852,0.94,0.1,N
63154,0.96,0.6,N
63438,0.75,0.06,N
63711,0.805,0.01,N
63998,0.885,0.21,N
64288,0.77,-0.11,N
64581,0.76,0.105,N
64876,0.92,0.05,N
65174,0.91,0.17,N
65464,0.815,-0.04,N
65750,0.805,-0.185,N
66030,0.95,0.55,N
66307,0.875,0.215,N
66604,0.78,0.12,N
66792,1.015,0.005,A
67130,0.88,0.27,N
67434,0.94,0.38,N
67728,0.78,0.15,N
68007,0.765,0.14,N
68302,0.955,0.17,N
68594,0.87,0.36,N
68886,0.86,0.15,N
69191,0.925,0.08,N
69503,0.97,0.715,N
69796,0.87,0.2,N
70073,0.835,0.16,N
70357,0.925,0.14,N
70643,0.95,0.115,N
70941,0.825,0.235,N
71240,0.82,-0.02,N
71539,0.875,0.47,N
71845,0.885,0.46,N
72138,0.825,0.005,N
72417,0.875,0.005,N
72703,1.08,0.56,N
72998,0.915,0.225,N
73301,0.795,0.225,N
73611,0.765,0.335,N
73911,0.94,0.75,N
74196,0.92,0.24,N
74483,0.795,0.21,N
74767,0.88,0.135,N
74986,0.99,0.36,A
75332,0.84,0.435,N
75632,0.76,0.235,N
75934,0.815,0.685,N
76233,0.895,0.705,N
76515,0.85,0.375,N
76785,0.775,0.335,N
77074,0.92,0.34,N
77366,0.89,0.735,N
77663,0.745,0.375,N
77954,0.805,0.115,N
78251,0.93,0.53,N
78539,0.895,0.42,N
78824,0.87,0.41,N
79100,0.81,0.09,N
79386,0.885,0.45,N
79689,0.79,0.335,N
79991,0.67,0.215,N
80290,0.705,0.34,N
80583,0.895,0.51,N
80868,0.785,0.53,N
81152,0.865,0.435,N
81439,0.915,0.49,N
81730,0.865,0.615,N
82030,0.73,0.395,N
82335,0.865,0.405,N
82636,0.89,0.645,N
82927,0.89,0.67,N
83209,0.77,0.385,N
83492,0.82,0.23,N
83794,0.88,0.625,N
84103,0.81,0.57,N
84407,0.8,0.295,N
84709,0.865,0.315,N
85010,0.915,0.34,N
85303,0.785,0.175,N
85580,0.815,0.045,N
85870,0.88,0.385,N
86171,0.835,0.375,N
86478,0.795,0.155,N
86780,0.93,0.285,N
87079,1.14,0.695,N
87364,0.83,0.4,N
87652,0.825,0.13,N
87941,0.925,0.395,N
88232,0.875,0.265,N
88530,0.775,0.235,N
88834,0.89,0.315,N
89135,0.89,0.75,N
89421,0.855,0.23,N
89703,0.88,0.32,N
89988,1.015,0.455,N
90286,0.955,0.54,N
90590,0.875,0.12,N
90885,0.935,0.21,N
91190,0.99,0.36,N
91481,0.84,0.36,N
91761,0.86,0.12,N
92046,1.055,0.665,N
92338,1.015,0.28,N
92633,0.94,0.35,N
92944,0.825,0.155,N
93246,0.975,0.23,N
93534,0.965,0.21,N
93824,0.835,0.05,N
94102,0.87,0.15,N
94395,1.185,0.76,N
94693,0.98,0.15,N
94996,0.95,0.245,N
95298,0.795,0.025,N
95606,0.93,0.35,N
95893,0.895,0.165,N
96171,0.83,-0.095,N
96450,0.86,0.245,N
96746,0.975,0.715,N
97050,0.87,0.285,N
97348,0.82,0.09,N
97644,0.83,0.38,N
97936,0.91,0.63,N
98228,0.87,0.155,N
98508,0.825,0.125,N
98789,0.91,0.26,N
99084,0.995,0.56,N
99382,0.785,0.125,N
99579,0.83,0.235,A
99930,0.85,0.115,N
100218,0.945,0.35,N
100496,0.845,0.15,N
100781,0.825,0.105,N
101071,0.935,0.19,N
101361,0.955,0.495,N
101653,0.72,0.185,N
101941,0.82,0.255,N
102234,0.925,0.51,N
102516,0.835,0.34,N
102793,0.855,-0.005,N
103074,0.95,0.235,N
103371,0.86,0.21,N
103669,0.825,0.12,N
103964,0.96,0.135,N
104261,1.015,0.515,N
104545,0.94,0.645,N
104830,0.795,0.155,N
105118,0.88,0.39,N
105407,0.91,0.335,N
105707,0.825,0.245,N
106015,0.88,0.29,N
106314,1.055,0.535,N
106600,0.82,0.23,N
106882,0.605,-0.17,N
107159,0.655,-0.19,N
107453,1.125,-0.085,N
107750,0.89,0.175,N
108045,0.795,0.04,N
108342,1.005,0.27,N
108643,0.985,0.57,N
108926,0.9,0.065,N
109199,0.89,0.21,N
109486,1.005,0.335,N
109772,1.035,0.65,N
110076,0.845,0.305,N
110374,0.93,0.415,N
110673,1.03,0.58,N
110963,0.89,0.27,N
111244,0.865,-0.05,N
111524,0.975,0.405,N
111810,1.0,0.715,N
112108,0.925,0.285,N
112405,0.925,0.16,N
112710,0.98,0.57,N
113000,0.89,0.555,N
113281,0.88,0.01,N
113562,0.9,0.095,N
113850,1.06,0.035,N
114142,1.3,0.64,N
114428,0.985,0.295,N
114716,0.87,0.195,N
115000,0.825,0.415,N
115280,0.84,0.255,N
115547,0.905,0.135,N
115815,0.95,0.1,N
116084,0.945,0.09,N
116369,0.955,0.415,N
116654,0.89,0.275,N
116939,0.83,0.49,N
117213,0.815,0.325,N
117494,0.865,0.465,N
117766,0.87,0.44,N
118044,0.85,0.345,N
118323,0.875,0.385,N
118607,0.82,0.36,N
118911,0.69,0.25,N
119215,0.63,0.055,N
119509,0.715,-0.035,N
119791,0.725,0.015,N
120077,0.795,-0.21,N
120376,0.845,-0.29,N
120676,0.88,0.05,N
120990,0.705,0.295,N
121300,0.73,0.09,N
121604,0.805,0.285,N
121889,0.81,0.34,N
122170,0.89,0.25,N
122460,0.76,0.43,N
122750,0.84,0.5,N
123050,0.765,0.365,N
123360,0.795,0.03,N
123664,0.8,0.065,N
123936,0.8,0.285,N
124221,0.805,0.335,N
124507,0.775,0.22,N
124775,0.79,0.505,N
125060,0.82,0.305,N
125355,0.765,0.135,N
125648,0.785,0.505,N
125926,0.845,0.24,N
126203,0.78,0.27,N
126476,0.8,0.26,N
126746,0.805,0.44,N
127025,0.755,0.135,N
127313,0.765,0.215,N
127603,0.85,0.45,N
127892,0.91,0.535,N
128085,0.95,0.325,A
128423,0.89,0.195,N
